Jugador,Equipo,Edad,Goles,Asistencias,Partidos,Salario,Posicion
Messi,PSG,36,16,16,32,40000000,Delantero 
Cristiano,Al Nassr,38,14,2,19,200000000,Delantero 
Benzema,Al Ittihad,36,12,4,16,100000000,Delantero 
Modric,Real Madrid,38,1,8,32,10000000,Centrocampista 
Vinicius,Real Madrid,23,15,10,35,20000000,Delantero 
Bellingham,Real Madrid,20,13,3,20,15000000,Centrocampista 
Lewandowski,Barcelona,35,19,5,35,25000000,Delantero 
Gavi,Barcelona,19,2,6,30,5000000,Centrocampista 
Pedri,Barcelona,21,3,4,28,8000000,Centrocampista 
Haaland,Man City,23,36,5,35,30000000,Delantero 
De Bruyne,Man City,32,4,18,25,20000000,Centrocampista 
Mbappe,Real Madrid,25,29,7,35,50000000,Delantero 
Rodri,Man City,27,5,3,38,12000000,Centrocampista 
Kane,Bayern,30,24,6,28,20000000,Delantero 
Saka,Arsenal,22,14,9,35,10000000,Delantero
