ID,Fecha_Pedido,Numero_Mesa,Total_Cuenta,Propina,Costo_Platos,Visitas_Anteriores,Metodo_Pago
1,15/03/2024,5,"85,50",12.00,45.00,3,Efectivo
2,22/03/2024,12,120.00,18.50,60.00,7,Tarjeta
3,10/04/2024,8,65.00,8.00,35.00,1,Transferencia
4,05/05/2024,15,"95,75",14.00,50.00,4,Tarjeta
5,18/06/2024,22,110.00,16.50,55.00,8,Efectivo
6,25/07/2024,3,45.00,5.00,25.00,0, Efectivo 
7,12/08/2024,18,"135,00",20.00,70.00,10,Transferencia
8,30/09/2024,6,55.00,-2.00,30.00,2,Tarjeta
9,15/10/2024,25,125.00,17.00,65.00,6,Efectivo
10,20/11/2024,9,70.00,9.50,38.00,3,Tarjeta
11,05/12/2024,14,,,48.00,5,Transferencia
12,18/01/2024,7,80.00,11.00,42.00,4,Efectivo
13,22/02/2024,20,105.00,15.50,58.00,9,Tarjeta
14,10/03/2024,11,"92,00",13.00,49.00,2,Transferencia
15,15/07/2024,16,115.00,-5.00,62.00,7,Tarjeta
