reg,has-ring,habitat,season
0,f,d,a
1,t,d,w
2,f,l,w
3,f,d,u
4,f,g,a
5,t,d,a
6,t,g,w
7,t,d,a
8,f,d,a
9,f,d,a
10,f,d,a
11,t,d,w
12,f,d,s
13,f,d,a
14,t,g,u
15,f,d,u
16,t,d,a
17,f,d,u
18,f,h,u
19,f,d,a
20,f,d,s
21,f,d,a
22,f,d,a
23,t,d,a
24,f,l,w
25,f,d,a
26,f,g,a
27,f,d,a
28,f,d,u
29,t,p,u
30,f,d,a
31,f,d,u
32,f,d,u
33,f,d,u
34,f,d,u
35,f,d,a
36,f,l,a
37,f,d,a
38,f,d,a
39,f,d,w
40,f,d,a
41,t,d,u
42,f,d,a
43,f,d,a
44,f,d,a
45,f,d,u
46,f,g,w
47,t,d,w
48,f,d,s
49,f,d,s
50,f,d,u
51,t,d,a
52,f,d,a
53,t,m,u
54,f,d,u
55,f,d,u
56,f,d,u
57,f,g,u
58,f,h,a
59,f,d,u
60,t,d,u
61,f,l,a
62,f,d,a
63,f,g,a
64,f,d,s
65,f,d,a
66,f,d,a
67,t,g,a
68,f,g,a
69,f,l,a
70,t,d,u
71,f,d,a
72,f,d,u
73,f,d,a
74,f,d,s
75,f,d,a
76,f,h,a
77,t,d,u
78,t,d,a
79,t,d,a
80,f,h,a
81,t,m,s
82,f,g,a
83,f,d,a
84,t,d,u
85,f,d,a
86,f,h,a
87,f,g,a
88,f,d,a
89,f,d,u
90,f,h,u
91,f,d,u
92,f,h,a
93,f,d,a
94,t,d,a
95,t,d,u
96,t,g,u
97,f,d,u
98,f,g,u
99,t,d,a
100,f,h,u
101,f,d,a
102,t,d,w
103,f,h,u
104,t,d,a
105,f,d,u
106,t,d,u
107,f,l,a
108,f,l,w
109,f,d,u
110,f,d,a
111,f,d,a
112,f,d,s
113,f,g,a
114,f,m,a
115,f,d,a
116,t,d,w
117,f,d,s
118,t,g,a
119,f,d,u
120,f,d,a
121,f,d,w
122,f,d,w
123,t,d,u
124,f,d,a
125,f,d,w
126,f,d,a
127,f,d,s
128,f,d,a
129,f,l,w
130,t,g,a
131,f,h,a
132,t,d,u
133,t,d,a
134,f,l,u
135,f,l,a
136,f,d,s
137,f,d,a
138,f,d,u
139,f,d,u
140,f,g,u
141,f,d,a
142,f,d,u
143,f,d,a
144,f,l,s
145,f,d,u
146,f,d,a
147,t,g,a
148,f,d,u
149,f,d,u
150,f,d,a
151,t,d,u
152,f,d,a
153,f,d,u
154,f,d,w
155,f,d,a
156,f,d,u
157,f,d,a
158,f,d,a
159,f,d,a
160,f,d,u
161,f,g,a
162,f,d,u
163,f,d,a
164,f,d,w
165,f,d,a
166,t,d,u
167,f,d,u
168,f,d,u
169,f,d,a
170,t,g,u
171,f,d,a
172,t,d,a
173,f,d,a
174,t,d,w
175,t,d,u
176,t,d,a
177,f,h,u
178,f,d,a
179,f,d,a
180,f,d,a
181,f,d,a
182,f,d,a
183,f,l,a
184,f,h,u
185,t,d,a
186,f,d,u
187,f,d,u
188,t,g,u
189,f,d,a
190,t,m,a
191,f,d,a
192,f,d,u
193,f,d,w
194,f,d,u
195,t,d,a
196,f,d,w
197,f,d,a
198,f,d,a
199,f,d,a
200,f,d,a
201,f,d,a
202,t,d,a
203,t,m,a
204,t,d,a
205,f,d,a
206,f,g,a
207,t,m,u
208,t,d,a
209,t,d,u
210,f,d,a
211,f,g,u
212,f,d,w
213,f,d,a
214,f,d,a
215,f,l,s
216,f,d,a
217,f,d,u
218,t,d,a
219,f,d,a
220,t,l,a
221,f,d,w
222,f,l,a
223,f,d,u
224,f,d,u
225,t,d,u
226,t,g,w
227,f,g,a
228,t,p,u
229,t,d,u
230,f,d,a
231,f,g,u
232,f,m,a
233,f,d,w
234,f,g,u
235,t,d,a
236,f,d,u
237,f,g,a
238,f,d,u
239,f,d,a
240,t,d,a
241,t,u,u
242,f,p,u
243,t,d,w
244,t,d,w
245,f,d,w
246,f,g,u
247,t,d,a
248,t,d,s
249,f,h,u
250,t,d,a
251,f,h,a
252,f,d,a
253,t,d,u
254,f,d,a
255,f,g,a
256,f,d,w
257,f,d,u
258,f,h,a
259,f,d,a
260,t,m,u
261,f,d,u
262,f,l,a
263,t,d,u
264,t,m,w
265,f,g,u
266,f,d,u
267,f,d,a
268,f,h,u
269,f,d,a
270,f,l,s
271,f,d,u
272,t,d,u
273,f,l,a
274,f,d,a
275,f,d,a
276,f,d,u
277,f,d,u
278,f,g,u
279,t,d,a
280,t,d,u
281,t,d,u
282,t,d,a
283,t,d,a
284,f,m,w
285,f,d,w
286,t,g,u
287,f,d,u
288,t,d,a
289,t,d,u
290,f,g,u
291,f,d,s
292,f,g,u
293,f,d,u
294,f,g,a
295,f,d,u
296,t,d,s
297,f,d,a
298,f,d,u
299,f,g,u
300,f,m,a
301,t,g,u
302,f,g,u
303,f,d,w
304,f,d,u
305,f,l,a
306,f,g,u
307,f,d,a
308,f,d,a
309,t,d,a
310,f,m,s
311,f,d,a
312,f,d,u
313,f,d,a
314,f,d,a
315,t,w,a
316,t,w,a
317,t,d,u
318,t,w,u
319,f,g,a
320,f,g,u
321,f,d,a
322,f,h,a
323,f,d,s
324,t,g,u
325,f,d,a
326,f,d,w
327,f,g,a
328,f,d,u
329,t,d,a
330,f,h,a
331,t,g,a
332,f,d,a
333,f,d,u
334,t,p,u
335,f,d,a
336,f,l,w
337,t,d,u
338,t,d,a
339,f,d,u
340,f,d,w
341,t,d,a
342,f,d,a
343,f,g,u
344,f,l,a
345,f,g,u
346,f,h,a
347,t,w,u
348,f,d,w
349,t,d,u
350,f,d,a
351,f,h,s
352,f,d,w
353,f,d,a
354,t,d,a
355,f,h,u
356,t,m,u
357,f,d,u
358,t,d,a
359,t,d,a
360,f,d,u
361,f,d,a
362,f,g,a
363,f,g,a
364,f,l,u
365,t,d,u
366,f,d,u
367,f,l,w
368,f,d,a
369,f,d,a
370,f,d,w
371,f,g,a
372,f,m,w
373,f,d,w
374,f,d,u
375,f,d,a
376,f,d,u
377,f,d,u
378,f,d,a
379,f,d,a
380,f,d,a
381,f,g,u
382,f,d,s
383,f,d,a
384,f,d,u
385,f,g,w
386,t,d,u
387,t,d,u
388,f,l,u
389,f,d,a
390,t,d,u
391,f,d,a
392,f,d,w
393,t,d,u
394,t,d,u
395,f,d,u
396,f,d,u
397,t,d,a
398,f,p,u
399,f,h,u
400,f,d,u
401,f,d,a
402,f,d,w
403,f,d,a
404,f,d,a
405,f,d,a
406,f,d,u
407,t,m,a
408,f,g,a
409,f,d,a
410,f,d,a
411,f,d,u
412,f,d,a
413,f,d,u
414,t,d,u
415,t,d,a
416,f,d,u
417,t,d,u
418,f,d,u
419,f,d,a
420,f,d,a
421,f,d,a
422,f,d,a
423,t,g,a
424,f,l,a
425,f,d,a
426,f,l,w
427,t,w,a
428,f,d,a
429,t,d,u
430,f,h,a
431,t,m,a
432,f,d,s
433,f,d,u
434,f,d,a
435,f,d,u
436,t,d,a
437,f,d,a
438,f,d,a
439,t,m,u
440,f,d,u
441,t,d,u
442,t,l,a
443,f,d,w
444,f,d,u
445,f,d,a
446,f,d,a
447,f,d,a
448,f,d,a
449,f,l,a
450,t,d,a
451,f,g,a
452,f,d,a
453,f,g,u
454,f,h,u
455,t,d,u
456,f,d,w
457,t,m,u
458,t,m,a
459,f,m,a
460,f,d,a
461,f,h,a
462,f,d,u
463,f,d,w
464,f,d,u
465,f,m,a
466,f,d,a
467,t,d,a
468,f,g,a
469,f,d,w
470,f,d,u
471,f,d,u
472,t,d,a
473,f,d,a
474,t,w,a
475,t,d,a
476,f,g,a
477,f,d,a
478,f,d,w
479,f,d,s
480,f,d,a
481,f,d,u
482,t,d,u
483,f,d,u
484,t,m,u
485,f,d,w
486,f,d,a
487,f,d,a
488,t,d,u
489,f,g,u
490,t,d,u
491,f,d,a
492,t,w,a
493,f,d,a
494,f,d,a
495,t,g,a
496,f,d,a
497,f,d,u
498,f,g,u
499,f,d,a
500,f,d,a
501,t,w,w
502,f,d,a
503,f,d,a
504,f,l,u
505,t,d,u
506,f,m,a
507,f,d,a
508,f,d,a
509,f,d,a
510,f,d,w
511,f,d,a
512,f,d,a
513,f,m,w
514,f,h,u
515,t,d,a
516,f,g,a
517,f,d,w
518,f,g,a
519,t,d,u
520,f,d,a
521,f,d,a
522,f,d,a
523,f,g,u
524,f,d,a
525,f,d,a
526,t,m,u
527,f,d,a
528,t,d,u
529,f,d,u
530,f,d,u
531,t,d,a
532,t,d,a
533,f,d,a
534,t,d,a
535,t,l,a
536,f,d,u
537,f,d,a
538,t,m,u
539,f,d,a
540,f,g,u
541,t,d,s
542,t,d,w
543,f,g,u
544,t,d,u
545,f,d,s
546,f,l,a
547,t,d,a
548,t,d,a
549,f,d,a
550,t,d,a
551,f,d,a
552,f,h,a
553,f,d,u
554,f,d,a
555,f,d,u
556,t,g,u
557,t,d,a
558,f,d,a
559,f,d,a
560,f,d,u
561,f,d,w
562,f,d,u
563,f,d,a
564,f,g,a
565,f,d,a
566,f,d,a
567,f,d,a
568,t,m,u
569,f,h,u
570,f,d,w
571,f,d,a
572,f,d,a
573,f,d,u
574,f,d,a
575,f,d,a
576,f,d,w
577,f,g,w
578,f,d,u
579,f,d,u
580,f,d,u
581,f,d,a
582,f,d,a
583,t,d,u
584,f,d,a
585,f,h,u
586,f,d,w
587,t,g,a
588,f,d,w
589,t,d,u
590,t,d,a
591,f,d,w
592,f,g,u
593,f,d,s
594,t,d,u
595,f,d,a
596,f,d,a
597,f,g,u
598,f,h,a
599,t,d,u
600,f,d,u
601,f,d,u
602,t,w,a
603,t,g,a
604,f,g,u
605,f,d,s
606,f,d,u
607,f,d,a
608,t,d,u
609,t,d,a
610,t,d,a
611,f,d,a
612,t,g,u
613,t,d,a
614,t,d,w
615,f,d,a
616,f,l,a
617,t,d,u
618,t,d,a
619,f,d,a
620,f,d,u
621,f,d,a
622,f,d,a
623,f,d,a
624,f,d,u
625,f,d,a
626,f,d,u
627,f,d,a
628,t,p,u
629,f,d,s
630,f,g,u
631,f,d,w
632,f,d,u
633,f,h,u
634,f,m,a
635,t,d,u
636,f,d,u
637,t,h,u
638,f,d,a
639,t,d,a
640,t,d,u
641,t,d,a
642,f,g,u
643,f,d,a
644,f,g,a
