id,class,cap-color,does-bruise-or-bleed,stem-height
0,e,u,f,4.51
1,p,o,f,4.79
2,e,b,f,6.85
3,e,g,f,4.16
4,e,w,f,3.37
5,p,n,f,5.91
6,e,w,f,19.07
7,p,e,f,8.31
8,p,e,f,5.77
9,e,n,f,7.13
10,e,n,f,9.14
11,e,n,f,6.56
12,e,n,f,4.33
13,e,n,f,6.37
14,p,n,f,9.81
15,p,n,f,4.66
16,p,n,f,7.59
17,p,n,f,10.03
18,e,e,t,4.92
19,p,n,t,6.21
20,e,w,f,5.42
21,p,e,f,5.81
22,e,n,f,5.79
23,e,n,t,9.01
24,p,g,f,5.23
25,e,g,f,5.35
26,e,w,f,2.72
27,e,n,f,4.59
28,e,y,t,7.06
29,p,w,f,5.01
30,p,n,t,7.72
31,e,n,t,10.64
32,p,r,f,1.51
33,p,o,f,3.19
34,e,n,f,6.35
35,e,n,t,8.29
36,p,n,f,14.0
37,p,p,t,7.21
38,e,g,f,5.96
39,p,p,f,4.96
40,e,k,f,4.47
41,p,n,f,5.57
42,p,y,f,4.64
43,e,p,t,6.78
44,p,y,f,5.55
45,p,u,f,4.43
46,e,o,f,5.7
47,p,y,f,9.39
48,e,o,f,5.56
49,p,g,f,5.08
50,p,r,t,4.78
51,p,n,f,5.37
52,e,w,t,6.27
53,e,n,t,10.18
54,e,n,f,6.06
55,e,k,f,3.85
56,e,n,f,3.66
57,p,w,f,3.76
58,p,n,f,10.84
59,e,y,t,7.88
60,p,y,f,3.17
61,p,n,f,6.4
62,p,n,f,9.29
63,e,g,f,6.91
64,e,n,f,6.43
65,e,n,f,4.37
66,e,n,f,4.42
67,p,n,f,12.28
68,p,o,f,6.19
69,p,u,f,4.77
70,p,n,f,4.24
71,e,n,f,8.57
72,e,n,t,4.82
73,p,n,f,12.07
74,e,n,f,5.87
75,p,n,f,6.56
76,p,n,f,8.75
77,p,g,f,11.0
78,e,n,f,7.13
79,p,o,f,18.28
80,p,n,f,2.11
81,p,n,f,6.42
82,p,n,f,4.73
83,p,n,f,11.11
84,p,g,f,11.06
85,p,n,f,5.37
86,p,n,f,4.37
87,p,y,f,3.71
88,p,e,f,5.69
89,p,n,f,0.0
90,p,n,f,4.9
91,e,n,t,9.96
92,e,e,t,5.24
93,e,n,f,13.55
94,p,r,f,10.52
95,p,r,t,5.19
96,p,y,f,8.61
97,e,y,t,7.52
98,p,w,f,3.83
99,p,e,f,17.3
100,p,n,f,4.34
101,e,n,t,8.79
102,e,y,f,10.18
103,p,n,t,5.64
104,p,n,f,7.65
105,p,w,f,19.38
106,e,y,f,7.88
107,p,u,f,5.77
