id,date,country,city,store,product,num_sold
0,2010-01-01,Canada,Otawa,Discount Stickers,Holographic Goose,
1,2010-01-01,Canada,Toronto,Discount Stickers,Kaggle,973.0
2,2010-01-01,Canada,Toronto,Discount Stickers,Kaggle Tiers,906.0
3,2010-01-01,Canada,Otawa,Discount Stickers,Kerneler,423.0
4,2010-01-01,Canada,Otawa,Discount Stickers,Kerneler Dark Mode,491.0
5,2010-01-01,Canada,Otawa,Stickers for Less,Holographic Goose,300.0
6,2010-01-01,Canada,Toronto,Stickers for Less,Kaggle,1837.0
7,2010-01-01,Canada,Toronto,Stickers for Less,Kaggle Tiers,1659.0
8,2010-01-01,Canada,Otawa,Stickers for Less,Kerneler,807.0
9,2010-01-01,Canada,Toronto,Stickers for Less,Kerneler Dark Mode,940.0
10,2010-01-01,Canada,,Premium Sticker Mart,Holographic Goose,375.0
11,2010-01-01,Canada,,Premium Sticker Mart,Kaggle,2212.0
12,2010-01-01,Canada,,Premium Sticker Mart,Kaggle Tiers,2013.0
13,2010-01-01,Canada,,Premium Sticker Mart,Kerneler,950.0
14,2010-01-01,Canada,,Premium Sticker Mart,Kerneler Dark Mode,1213.0
15,2010-01-01,Finland,,Discount Stickers,Holographic Goose,150.0
16,2010-01-01,Finland,Savonlinna,Discount Stickers,Kaggle,926.0
17,2010-01-01,Finland,Helsinki,Discount Stickers,Kaggle Tiers,774.0
18,2010-01-01,Finland,Helsinki,Discount Stickers,Kerneler,424.0
19,2010-01-01,Finland,,Discount Stickers,Kerneler Dark Mode,450.0
20,2010-01-01,Finland,,Stickers for Less,Holographic Goose,311.0
21,2010-01-01,Finland,,Stickers for Less,Kaggle,1948.0
22,2010-01-01,Finland,,Stickers for Less,Kaggle Tiers,1632.0
23,2010-01-01,Finland,,Stickers for Less,Kerneler,878.0
24,2010-01-01,Finland,,Stickers for Less,Kerneler Dark Mode,950.0
25,2010-01-01,Finland,,Premium Sticker Mart,Holographic Goose,362.0
26,2010-01-01,Finland,,Premium Sticker Mart,Kaggle,2304.0
27,2010-01-01,Finland,,Premium Sticker Mart,Kaggle Tiers,2070.0
28,2010-01-01,Finland,,Premium Sticker Mart,Kerneler,1134.0
29,2010-01-01,Finland,,Premium Sticker Mart,Kerneler Dark Mode,1047.0
30,2010-01-01,Italy,,Discount Stickers,Holographic Goose,110.0
31,2010-01-01,Italy,,Discount Stickers,Kaggle,681.0
32,2010-01-01,Italy,,Discount Stickers,Kaggle Tiers,627.0
33,2010-01-01,Italy,,Discount Stickers,Kerneler,340.0
34,2010-01-01,Italy,,Discount Stickers,Kerneler Dark Mode,406.0
35,2010-01-01,Italy,,Stickers for Less,Holographic Goose,228.0
36,2010-01-01,Italy,,Stickers for Less,Kaggle,1424.0
37,2010-01-01,Italy,,Stickers for Less,Kaggle Tiers,1281.0
38,2010-01-01,Italy,,Stickers for Less,Kerneler,637.0
39,2010-01-01,Italy,,Stickers for Less,Kerneler Dark Mode,778.0
40,2010-01-01,Italy,,Premium Sticker Mart,Holographic Goose,269.0
41,2010-01-01,Italy,,Premium Sticker Mart,Kaggle,1786.0
42,2010-01-01,Italy,Milano,Premium Sticker Mart,Kaggle Tiers,1434.0
43,2010-01-01,Italy,,Premium Sticker Mart,Kerneler,783.0
44,2010-01-01,Italy,,Premium Sticker Mart,Kerneler Dark Mode,861.0
45,2010-01-01,Kenya,,Discount Stickers,Holographic Goose,
46,2010-01-01,Kenya,,Discount Stickers,Kaggle,20.0
47,2010-01-01,Kenya,,Discount Stickers,Kaggle Tiers,16.0
48,2010-01-01,Kenya,,Discount Stickers,Kerneler,8.0
49,2010-01-01,Kenya,,Discount Stickers,Kerneler Dark Mode,9.0
50,2010-01-01,Kenya,,Stickers for Less,Holographic Goose,5.0
51,2010-01-01,Kenya,,Stickers for Less,Kaggle,40.0
52,2010-01-01,Kenya,,Stickers for Less,Kaggle Tiers,32.0
53,2010-01-01,Kenya,,Stickers for Less,Kerneler,17.0
54,2010-01-01,Kenya,,Stickers for Less,Kerneler Dark Mode,19.0
55,2010-01-01,Kenya,,Premium Sticker Mart,Holographic Goose,7.0
56,2010-01-01,Kenya,,Premium Sticker Mart,Kaggle,41.0
57,2010-01-01,Kenya,,Premium Sticker Mart,Kaggle Tiers,37.0
58,2010-01-01,Kenya,,Premium Sticker Mart,Kerneler,20.0
59,2010-01-01,Kenya,,Premium Sticker Mart,Kerneler Dark Mode,22.0
60,2010-01-01,Norway,,Discount Stickers,Holographic Goose,261.0
61,2010-01-01,Norway,,Discount Stickers,Kaggle,1692.0
62,2010-01-01,Norway,Oslo,Discount Stickers,Kaggle Tiers,1525.0
63,2010-01-01,Norway,,Discount Stickers,Kerneler,791.0
64,2010-01-01,Norway,,Discount Stickers,Kerneler Dark Mode,911.0
65,2010-01-01,Norway,,Stickers for Less,Holographic Goose,579.0
66,2010-01-01,Norway,,Stickers for Less,Kaggle,3369.0
67,2010-01-01,Norway,,Stickers for Less,Kaggle Tiers,3195.0
68,2010-01-01,Norway,,Stickers for Less,Kerneler,1606.0
69,2010-01-01,Norway,,Stickers for Less,Kerneler Dark Mode,1672.0
70,2010-01-01,Norway,,Premium Sticker Mart,Holographic Goose,625.0
71,2010-01-01,Norway,,Premium Sticker Mart,Kaggle,3940.0
72,2010-01-01,Norway,,Premium Sticker Mart,Kaggle Tiers,3430.0
73,2010-01-01,Norway,,Premium Sticker Mart,Kerneler,1951.0
74,2010-01-01,Norway,,Premium Sticker Mart,Kerneler Dark Mode,2376.0
75,2010-01-01,Singapore,,Discount Stickers,Holographic Goose,150.0
76,2010-01-01,Singapore,,Discount Stickers,Kaggle,939.0
77,2010-01-01,Singapore,,Discount Stickers,Kaggle Tiers,768.0
78,2010-01-01,Singapore,,Discount Stickers,Kerneler,405.0
79,2010-01-01,Singapore,,Discount Stickers,Kerneler Dark Mode,495.0
80,2010-01-01,Singapore,,Stickers for Less,Holographic Goose,301.0
81,2010-01-01,Singapore,,Stickers for Less,Kaggle,1981.0
82,2010-01-01,Singapore,,Stickers for Less,Kaggle Tiers,1565.0
83,2010-01-01,Singapore,,Stickers for Less,Kerneler,841.0
